"Time","T0129","","T0129","","T0129","","T0129","","T0129","","T0129","","T0129","","T0129","","T0129",""
"and","10.00","","400.00","","400.55","","400.56","","430.00","","500.00","","515.00","","550.00","","750.00",""
"Date","Pioggia (mm)","","Temp. aria (°C)","","Temp. aria (°C)","","Temp. aria (°C)","","Umidita' aria (%)","","Dir. Vento (°)","","Vel. Vento (m/s)","","Pressione atm. (hPa)","","Rad.Sol.Tot. (kJ/m2)",""
"","Total","Qual","Mean","Qual","Min","Qual","Max","Qual","Mean","Qual","Mean","Qual","Mean","Qual","Mean","Qual","Total","Qual"
00:00:00 10/02/1985,"",    255,"",    255,         0.0,      1,         6.0,      1,"",    255,"",    151,"",    151,"",    255,"",    255
00:00:00 11/02/1985,"",    255,"",    255,        -2.0,      1,         4.0,      1,"",    255,"",    151,"",    151,"",    255,"",    255
00:00:00 12/02/1985,"",    255,"",    255,        -3.0,      1,         4.0,      1,"",    255,"",    151,"",    151,"",    255,"",    255
00:00:00 13/02/1985,"",    255,"",    255,        -4.0,      1,         4.0,      1,"",    255,"",    151,"",    151,"",    255,"",    255
00:00:00 14/02/1985,"",    255,"",    255,        -4.0,      1,         5.0,      1,"",    255,"",    151,"",    151,"",    255,"",    255
00:00:00 15/02/1985,"",    255,"",    255,        -2.0,      1,         6.0,      1,"",    255,"",    151,"",    151,"",    255,"",    255
00:00:00 16/02/1985,"",    255,"",    255,        -3.0,      1,         6.0,      1,"",    255,"",    151,"",    151,"",    255,"",    255
00:00:00 17/02/1985,"",    255,"",    255,        -5.0,      1,         6.0,      1,"",    255,"",    151,"",    151,"",    255,"",    255
00:00:00 18/02/1985,"",    255,"",    255,        -8.0,      1,         6.0,      1,"",    255,"",    151,"",    151,"",    255,"",    255
00:00:00 19/02/1985,"",    255,"",    255,        -8.0,      1,         4.0,      1,"",    255,"",    151,"",    151,"",    255,"",    255
00:00:00 20/02/1985,"",    255,"",    255,        -6.0,      1,         5.0,      1,"",    255,"",    151,"",    151,"",    255,"",    255
00:00:00 21/02/1985,"",    255,"",    255,        -6.0,      1,         7.0,      1,"",    255,"",    151,"",    151,"",    255,"",    255
00:00:00 22/02/1985,"",    255,"",    255,        -5.0,      1,         7.0,      1,"",    255,"",    151,"",    151,"",    255,"",    255
00:00:00 23/02/1985,"",    255,"",    255,        -5.0,      1,        10.0,      1,"",    255,"",    151,"",    151,"",    255,"",    255
00:00:00 24/02/1985,"",    255,"",    255,        -5.0,      1,        12.0,      1,"",    255,"",    151,"",    151,"",    255,"",    255
00:00:00 25/02/1985,"",    255,"",    255,         0.0,      1,        12.0,      1,"",    255,"",    151,"",    151,"",    255,"",    255
00:00:00 26/02/1985,"",    255,"",    255,         0.0,      1,        10.0,      1,"",    255,"",    151,"",    151,"",    255,"",    255
00:00:00 27/02/1985,"",    255,"",    255,         0.0,      1,         8.0,      1,"",    255,"",    151,"",    151,"",    255,"",    255
00:00:00 28/02/1985,"",    255,"",    255,         0.0,      1,        10.0,      1,"",    255,"",    151,"",    151,"",    255,"",    255
00:00:00 01/03/1985,"",    255,"",    255,        -2.0,      1,        10.0,      1,"",    255,"",    151,"",    151,"",    255,"",    255
00:00:00 02/03/1985,"",    255,"",    255,        -2.0,      1,        12.0,      1,"",    255,"",    151,"",    151,"",    255,"",    255
00:00:00 03/03/1985,"",    255,"",    255,        -2.0,      1,        12.0,      1,"",    255,"",    151,"",    151,"",    255,"",    255
00:00:00 04/03/1985,"",    255,"",    255,         4.0,      1,        10.0,      1,"",    255,"",    151,"",    151,"",    255,"",    255
00:00:00 05/03/1985,"",    255,"",    255,         3.0,      1,         5.0,      1,"",    255,"",    151,"",    151,"",    255,"",    255
00:00:00 06/03/1985,"",    255,"",    255,         3.0,      1,         6.0,      1,"",    255,"",    151,"",    151,"",    255,"",    255
00:00:00 07/03/1985,"",    255,"",    255,         3.0,      1,        10.0,      1,"",    255,"",    151,"",    151,"",    255,"",    255
00:00:00 08/03/1985,"",    255,"",    255,         3.0,      1,        17.0,      1,"",    255,"",    151,"",    151,"",    255,"",    255
00:00:00 09/03/1985,"",    255,"",    255,         0.0,      1,        17.0,      1,"",    255,"",    151,"",    151,"",    255,"",    255
00:00:00 10/03/1985,"",    255,"",    255,         0.0,      1,        12.0,      1,"",    255,"",    151,"",    151,"",    255,"",    255
00:00:00 11/03/1985,"",    255,"",    255,         2.0,      1,        12.0,      1,"",    255,"",    151,"",    151,"",    255,"",    255
00:00:00 12/03/1985,"",    255,"",    255,         2.0,      1,        16.0,      1,"",    255,"",    151,"",    151,"",    255,"",    255
00:00:00 13/03/1985,"",    255,"",    255,         3.0,      1,        16.0,      1,"",    255,"",    151,"",    151,"",    255,"",    255
00:00:00 14/03/1985,"",    255,"",    255,         3.0,      1,        14.0,      1,"",    255,"",    151,"",    151,"",    255,"",    255
00:00:00 15/03/1985,"",    255,"",    255,         1.0,      1,         8.0,      1,"",    255,"",    151,"",    151,"",    255,"",    255
00:00:00 16/03/1985,"",    255,"",    255,         0.0,      1,         6.0,      1,"",    255,"",    151,"",    151,"",    255,"",    255
00:00:00 17/03/1985,"",    255,"",    255,         0.0,      1,        11.0,      1,"",    255,"",    151,"",    151,"",    255,"",    255
00:00:00 18/03/1985,"",    255,"",    255,         2.0,      1,        13.0,      1,"",    255,"",    151,"",    151,"",    255,"",    255
00:00:00 19/03/1985,"",    255,"",    255,         0.0,      1,        13.0,      1,"",    255,"",    151,"",    151,"",    255,"",    255
00:00:00 20/03/1985,"",    255,"",    255,         0.0,      1,        12.0,      1,"",    255,"",    151,"",    151,"",    255,"",    255
00:00:00 21/03/1985,"",    255,"",    255,         2.0,      1,        12.0,      1,"",    255,"",    151,"",    151,"",    255,"",    255
00:00:00 22/03/1985,"",    255,"",    255,         4.0,      1,        13.0,      1,"",    255,"",    151,"",    151,"",    255,"",    255
00:00:00 23/03/1985,"",    255,"",    255,         5.0,      1,        17.0,      1,"",    255,"",    151,"",    151,"",    255,"",    255
00:00:00 24/03/1985,"",    255,"",    255,         4.0,      1,        17.0,      1,"",    255,"",    151,"",    151,"",    255,"",    255
00:00:00 25/03/1985,"",    255,"",    255,         4.0,      1,        17.0,      1,"",    255,"",    151,"",    151,"",    255,"",    255
00:00:00 26/03/1985,"",    255,"",    255,         5.0,      1,        15.0,      1,"",    255,"",    151,"",    151,"",    255,"",    255
00:00:00 27/03/1985,"",    255,"",    255,         3.0,      1,        14.0,      1,"",    255,"",    151,"",    151,"",    255,"",    255
00:00:00 28/03/1985,"",    255,"",    255,         0.0,      1,        14.0,      1,"",    255,"",    151,"",    151,"",    255,"",    255
00:00:00 29/03/1985,"",    255,"",    255,         0.0,      1,        17.0,      1,"",    255,"",    151,"",    151,"",    255,"",    255
00:00:00 30/03/1985,"",    255,"",    255,         1.0,      1,        17.0,      1,"",    255,"",    151,"",    151,"",    255,"",    255
00:00:00 31/03/1985,"",    255,"",    255,         4.0,      1,        21.0,      1,"",    255,"",    151,"",    151,"",    255,"",    255
00:00:00 01/04/1985,"",    255,"",    255,         4.0,      1,        22.0,      1,"",    255,"",    151,"",    151,"",    255,"",    255
00:00:00 02/04/1985,"",    255,"",    255,         5.0,      1,        22.0,      1,"",    255,"",    151,"",    151,"",    255,"",    255
00:00:00 03/04/1985,"",    255,"",    255,         5.0,      1,        22.0,      1,"",    255,"",    151,"",    151,"",    255,"",    255
00:00:00 04/04/1985,"",    255,"",    255,         5.0,      1,        20.0,      1,"",    255,"",    151,"",    151,"",    255,"",    255
00:00:00 05/04/1985,"",    255,"",    255,         5.0,      1,        19.0,      1,"",    255,"",    151,"",    151,"",    255,"",    255
00:00:00 06/04/1985,"",    255,"",    255,         4.0,      1,        20.0,      1,"",    255,"",    151,"",    151,"",    255,"",    255
00:00:00 07/04/1985,"",    255,"",    255,         4.0,      1,        20.0,      1,"",    255,"",    151,"",    151,"",    255,"",    255
00:00:00 08/04/1985,"",    255,"",    255,         6.0,      1,        17.0,      1,"",    255,"",    151,"",    151,"",    255,"",    255
00:00:00 09/04/1985,"",    255,"",    255,         6.0,      1,        17.0,      1,"",    255,"",    151,"",    151,"",    255,"",    255
00:00:00 10/04/1985,"",    255,"",    255,         4.0,      1,        14.0,      1,"",    255,"",    151,"",    151,"",    255,"",    255
00:00:00 11/04/1985,"",    255,"",    255,         4.0,      1,        13.0,      1,"",    255,"",    151,"",    151,"",    255,"",    255
00:00:00 12/04/1985,"",    255,"",    255,         3.0,      1,        19.0,      1,"",    255,"",    151,"",    151,"",    255,"",    255
00:00:00 13/04/1985,"",    255,"",    255,         3.0,      1,        19.0,      1,"",    255,"",    151,"",    151,"",    255,"",    255
00:00:00 14/04/1985,"",    255,"",    255,         2.0,      1,        20.0,      1,"",    255,"",    151,"",    151,"",    255,"",    255
00:00:00 15/04/1985,"",    255,"",    255,         2.0,      1,        20.0,      1,"",    255,"",    151,"",    151,"",    255,"",    255
00:00:00 16/04/1985,"",    255,"",    255,         7.0,      1,        20.0,      1,"",    255,"",    151,"",    151,"",    255,"",    255
00:00:00 17/04/1985,"",    255,"",    255,         6.0,      1,        20.0,      1,"",    255,"",    151,"",    151,"",    255,"",    255
00:00:00 18/04/1985,"",    255,"",    255,         6.0,      1,        20.0,      1,"",    255,"",    151,"",    151,"",    255,"",    255
00:00:00 19/04/1985,"",    255,"",    255,         5.0,      1,        22.0,      1,"",    255,"",    151,"",    151,"",    255,"",    255
00:00:00 20/04/1985,"",    255,"",    255,         5.0,      1,        22.0,      1,"",    255,"",    151,"",    151,"",    255,"",    255
00:00:00 21/04/1985,"",    255,"",    255,         7.0,      1,        22.0,      1,"",    255,"",    151,"",    151,"",    255,"",    255
00:00:00 22/04/1985,"",    255,"",    255,         8.0,      1,        21.0,      1,"",    255,"",    151,"",    151,"",    255,"",    255
00:00:00 23/04/1985,"",    255,"",    255,         7.0,      1,        20.0,      1,"",    255,"",    151,"",    151,"",    255,"",    255
00:00:00 24/04/1985,"",    255,"",    255,         3.0,      1,        19.0,      1,"",    255,"",    151,"",    151,"",    255,"",    255
00:00:00 25/04/1985,"",    255,"",    255,         3.0,      1,        18.0,      1,"",    255,"",    151,"",    151,"",    255,"",    255
00:00:00 26/04/1985,"",    255,"",    255,         8.0,      1,        18.0,      1,"",    255,"",    151,"",    151,"",    255,"",    255
00:00:00 27/04/1985,"",    255,"",    255,         7.0,      1,        18.0,      1,"",    255,"",    151,"",    151,"",    255,"",    255
00:00:00 28/04/1985,"",    255,"",    255,         2.0,      1,        18.0,      1,"",    255,"",    151,"",    151,"",    255,"",    255
00:00:00 29/04/1985,"",    255,"",    255,         2.0,      1,        21.0,      1,"",    255,"",    151,"",    151,"",    255,"",    255
00:00:00 30/04/1985,"",    255,"",    255,         3.0,      1,        24.0,      1,"",    255,"",    151,"",    151,"",    255,"",    255
00:00:00 01/05/1985,"",    255,"",    255,         8.0,      1,        24.0,      1,"",    255,"",    151,"",    151,"",    255,"",    255
00:00:00 02/05/1985,"",    255,"",    255,         6.0,      1,        21.0,      1,"",    255,"",    151,"",    151,"",    255,"",    255
00:00:00 03/05/1985,"",    255,"",    255,         6.0,      1,        19.0,      1,"",    255,"",    151,"",    151,"",    255,"",    255
00:00:00 04/05/1985,"",    255,"",    255,         8.0,      1,        19.0,      1,"",    255,"",    151,"",    151,"",    255,"",    255
00:00:00 05/05/1985,"",    255,"",    255,         9.0,      1,        17.0,      1,"",    255,"",    151,"",    151,"",    255,"",    255
00:00:00 06/05/1985,"",    255,"",    255,         7.0,      1,        16.0,      1,"",    255,"",    151,"",    151,"",    255,"",    255
00:00:00 07/05/1985,"",    255,"",    255,         7.0,      1,        12.0,      1,"",    255,"",    151,"",    151,"",    255,"",    255
00:00:00 08/05/1985,"",    255,"",    255,         7.0,      1,        13.0,      1,"",    255,"",    151,"",    151,"",    255,"",    255
00:00:00 09/05/1985,"",    255,"",    255,         7.0,      1,        16.0,      1,"",    255,"",    151,"",    151,"",    255,"",    255
00:00:00 10/05/1985,"",    255,"",    255,         9.0,      1,        22.0,      1,"",    255,"",    151,"",    151,"",    255,"",    255
00:00:00 11/05/1985,"",    255,"",    255,        10.0,      1,        22.0,      1,"",    255,"",    151,"",    151,"",    255,"",    255
00:00:00 12/05/1985,"",    255,"",    255,        10.0,      1,        15.0,      1,"",    255,"",    151,"",    151,"",    255,"",    255
00:00:00 13/05/1985,"",    255,"",    255,        10.0,      1,        24.0,      1,"",    255,"",    151,"",    151,"",    255,"",    255
00:00:00 14/05/1985,"",    255,"",    255,        11.0,      1,        25.0,      1,"",    255,"",    151,"",    151,"",    255,"",    255
00:00:00 15/05/1985,"",    255,"",    255,        11.0,      1,        26.0,      1,"",    255,"",    151,"",    151,"",    255,"",    255
00:00:00 16/05/1985,"",    255,"",    255,        10.0,      1,        26.0,      1,"",    255,"",    151,"",    151,"",    255,"",    255
00:00:00 17/05/1985,"",    255,"",    255,        10.0,      1,        25.0,      1,"",    255,"",    151,"",    151,"",    255,"",    255
00:00:00 18/05/1985,"",    255,"",    255,        10.0,      1,        25.0,      1,"",    255,"",    151,"",    151,"",    255,"",    255
00:00:00 19/05/1985,"",    255,"",    255,        10.0,      1,        25.0,      1,"",    255,"",    151,"",    151,"",    255,"",    255
00:00:00 20/05/1985,"",    255,"",    255,        10.0,      1,        22.0,      1,"",    255,"",    151,"",    151,"",    255,"",    255
00:00:00 21/05/1985,"",    255,"",    255,         9.0,      1,        22.0,      1,"",    255,"",    151,"",    151,"",    255,"",    255
00:00:00 22/05/1985,"",    255,"",    255,         7.0,      1,        20.0,      1,"",    255,"",    151,"",    151,"",    255,"",    255
00:00:00 23/05/1985,"",    255,"",    255,         7.0,      1,        23.0,      1,"",    255,"",    151,"",    151,"",    255,"",    255
00:00:00 24/05/1985,"",    255,"",    255,        11.0,      1,        26.0,      1,"",    255,"",    151,"",    151,"",    255,"",    255
00:00:00 25/05/1985,"",    255,"",    255,        12.0,      1,        27.0,      1,"",    255,"",    151,"",    151,"",    255,"",    255
00:00:00 26/05/1985,"",    255,"",    255,        15.0,      1,        29.0,      1,"",    255,"",    151,"",    151,"",    255,"",    255
00:00:00 27/05/1985,"",    255,"",    255,        15.0,      1,        29.0,      1,"",    255,"",    151,"",    151,"",    255,"",    255
00:00:00 28/05/1985,"",    255,"",    255,        13.0,      1,        26.0,      1,"",    255,"",    151,"",    151,"",    255,"",    255
